Gene	Expr0	Expr1	Expr2	Expr3	Expr4
TNPO2	0.488021	0.486344	0.540047	0.334934	0.522538
TNPO1	0.533504	0.435095	0.561634	0.554982	0.588478
TNNC1	0.221617	0.287874	0.620127	0.282689	0.706977
TNKS2-AS1	0.676647	0.459264	0.456386	0.812186	0.746296
TNKS2	0.858148	0.826209	0.719332	0.48486	0.736172
TNKS1BP1	0.556886	0.60898	0.618615	0.48621	0.621299
TNKS	0.403562	0.368232	0.397047	0.386833	0.423083
TNIP2	0.635188	0.584279	0.584539	0.966253	0.511782
TNIK	0.687123	0.735773	0.680423	0.365637	0.631095
TNFSF12	0.291922	0.563929	0.292216	0.275698	0.339685
TNFRSF25	0.26426	0.307382	0.466048	0.27758	0.502789
TNFRSF21	0.512409	0.38766	0.618755	0.527291	0.561253
TNFRSF13C	0.142845	0.0691385	0.174905	0.585597	1.08511
TNFRSF11B	0.452933	0.404794	0.409309	0.361611	0.522598
TNFAIP8L3	0.192876	0.164529	0.361173	0.180568	0.522046
TNFAIP8	0.22763	0.221642	0.206993	0.551295	1.18152
TNFAIP3	0.342054	0.376757	0.401696	0.553498	0.332966
TNFAIP2	0.205918	0.356572	0.998261	1.17334	0.833667
TNFAIP1	0.476454	0.473995	0.531688	0.626841	0.484313
TMX4	0.550999	0.434284	0.424911	0.341485	0.531499
TMX2	0.633682	0.635541	0.585962	0.656707	0.591517
TMUB2	0.424707	0.298834	0.522156	0.563832	0.369729
TMUB1	0.696848	0.698103	0.686765	0.875788	0.937804
TMTC4	0.565061	0.335072	0.347167	0.483509	0.408136
TMTC2	0.342623	0.287342	0.276568	0.547361	0.317316
TMTC1	0.694479	0.782451	0.545879	0.238224	0.953913
TMPRSS7	0.570045	0.177089	0.103128	0.476402	0.373943
TMPRSS5	0.402951	0.1131	0	0.630033	0.254546
TMOD3	0.904735	0.93964	0.829427	0.700475	0.892919
TMOD2	0.220082	0.378634	0.289327	0.159474	0.211374
TMLHE	0.348754	0.377579	0.339616	0.579074	0.45095
TMIE	0.465243	0.313292	0.254497	0.143903	0.30464
TMF1	0.728199	0.707065	0.708885	0.680756	0.736908
TMEM9B	0.708938	0.722755	0.602086	0.541297	0.538002
TMEM99	0.571386	0.624092	0.428303	0.556984	0.560333
TMEM97	0.179435	0.214523	0.218236	0.502086	0.849239
TMEM94	0.735851	0.612098	0.804021	1.03547	1.00902
TMEM91	0.301787	0.240717	0.513157	0.465191	0.594816
TMEM9	0.721784	0.643025	0.621581	0.865871	0.558238
TMEM8B	0.564993	0.604707	0.645886	0.571619	0.497689
TMEM88	0.282618	0.152456	0.262638	0.496606	0.302512
TMEM87B	0.342816	0.410884	0.324315	0.257735	0.417801
TMEM87A	0.59321	0.582517	0.594166	0.621215	0.567059
TMEM80	0.740055	0.594119	0.482859	0.48832	0.489882
TMEM70	0.341473	0.315068	0.31494	0.514067	0.443787
TMEM69	0.357879	0.270086	0.393866	0.550645	0.365972
TMEM68	0.704208	0.753673	0.569015	0.919653	0.78658
TMEM64	0.673538	0.368511	0.510081	1.06592	0.467947
TMEM63B	0.347291	0.300499	0.406232	0.432115	0.298013
TMEM60	0.555541	0.583606	0.432895	0.682906	0.634166
TMEM56	0.548377	0.298834	0.265461	0.433291	0.956874
TMEM54	0.131418	0.257047	0.295253	0.431634	0.641823
TMEM53	0.592282	0.684774	0.423686	0.537425	0.331705
TMEM50B	0.891839	0.802259	0.643828	0.570065	0.5382
TMEM50A	0.820543	0.738422	0.661823	0.818098	0.608204
TMEM45A	0.90438	0.571298	0.457384	0.770102	0.59807
TMEM44-AS1	0.378889	0.51004	0.318658	0.486611	0.262397
TMEM43	0.767045	0.878066	1.12899	0.716596	0.859612
TMEM42	0.61205	0.617073	0.426469	0.643302	0.298752
TMEM41B	0.503878	0.430596	0.457321	0.623698	0.619056
TMEM41A	0.504407	0.469157	0.681971	0.710384	0.59452
TMEM39B	0.313536	0.268111	0.262517	0.322297	0.344351
TMEM39A	0.486045	0.575293	0.682699	0.975197	0.659249
TMEM37	0.115779	0.0413972	0	0.448869	0.765687
TMEM33	0.405513	0.519693	0.440038	0.549886	0.506196
TMEM30A	0.749697	0.793397	0.641759	0.503756	0.716894
TMEM267	0.448742	0.463612	0.393394	0.60631	0.338464
TMEM260	0.472061	0.480451	0.521302	0.347734	0.560852
TMEM259	0.768045	0.691909	0.904735	0.760536	0.831683
TMEM258	0.757288	0.849695	0.621524	0.850335	0.704119
TMEM254	0.796332	0.655599	0.546927	0.832542	0.517518
TMEM251	0.566815	0.521121	0.485107	0.593717	0.479955
TMEM250	0.653803	0.537336	0.529531	0.706959	0.582729
TMEM25	0.326871	0.504509	0.435725	0.413757	0.425717
TMEM248	0.930033	0.846273	0.842955	0.791406	0.883167
TMEM245	0.522397	0.490621	0.537276	0.473735	0.758158
TMEM242	0.588622	0.538022	0.490344	0.45856	0.469553
TMEM237	0.433024	0.456617	0.419776	0.584655	0.737548
TMEM234	0.749629	0.672534	0.642544	0.545731	0.663099
TMEM233	0.622359	0.282416	0.420035	0.154635	0.589955
TMEM230	0.942961	0.93389	0.71512	0.860454	0.769729
TMEM223	0.960482	0.788869	0.875646	0.862789	0.938369
TMEM222	0.637351	0.674415	0.787541	0.756084	0.62657
TMEM221	0.139627	0.314847	0.428346	0.806563	0.371905
TMEM219	0.790905	0.863415	0.683274	0.851855	0.638148
TMEM218	0.949707	0.838323	0.785525	1.05409	0.963585
TMEM216	0.397551	0.438868	0.575157	0.776289	0.352871
TMEM214	0.79654	0.764397	0.675771	0.589859	0.728608
TMEM209	0.584154	0.478143	0.429868	0.698032	0.79859
TMEM208	0.844305	0.851943	0.695308	0.732556	0.591507
TMEM206	0.399456	0.486931	0.562367	0.575564	0.343988
TMEM203	0.589763	0.590358	0.545237	0.659632	0.63292
TMEM202-AS1	0.481557	0.248802	0.303658	0.333046	0.402067
TMEM201	0.308314	0.145547	0.282843	0.337369	0.61946
TMEM200C	0.974074	0.932273	0.869769	0.480637	0.908936
TMEM200A	0.601668	0.757885	0.546551	0.236499	0.571939
TMEM199	0.339992	0.438421	0.402122	0.348006	0.376902
TMEM192	0.362599	0.401751	0.39986	0.431195	0.239581
TMEM19	0.48421	0.513056	0.366554	0.317327	0.531109
TMEM189	0.503573	0.418417	0.50926	0.611031	0.637833
TMEM187	0.766587	0.497454	0.460323	0.581371	0.504275
TMEM186	0.302582	0.374722	0.44058	0.565431	0.341656
TMEM185B	0.760919	0.771835	0.825843	0.974816	0.547006
TMEM185A	0.766137	0.488906	0.444794	0.518706	0.621252
TMEM184C	0.430596	0.526369	0.523823	0.362296	0.45856
TMEM184B	0.647149	0.5545	0.640602	0.571405	0.558611
TMEM183A	0.609415	0.465985	0.436226	0.594042	0.454481
TMEM182	0.326756	0.293005	0.299936	0.40293	0.29935
TMEM181	0.328308	0.334431	0.508865	0.504295	0.599308
TMEM18	0.611323	0.605665	0.484066	0.578205	0.765806
TMEM179	0.24195	0.174534	0.206056	0.147137	0.572269
TMEM178A	0.327699	0.331946	0.432799	0.300112	0.402427
TMEM176B	0.341826	0.0984735	0.169822	0.697863	0.131313
TMEM176A	0.249991	0.0843909	0.19955	0.881469	0.136415
TMEM175	0.513723	0.480007	0.501964	0.479241	0.497505
TMEM173	0.534948	0.0320444	0.191436	0.340539	0.553351
TMEM170A	0.725139	0.729148	0.550507	0.694069	0.725846
TMEM17	0.836579	0.761498	0.523261	0.532197	0.554294
TMEM168	0.435917	0.331625	0.391977	0.377957	0.31603
TMEM167B	0.489296	0.549827	0.468051	0.469542	0.296275
TMEM167A	0.706579	0.622677	0.546423	0.764924	0.560333
TMEM165	0.755529	0.762306	0.834274	0.781377	0.745564
TMEM164	0.521734	0.271473	0.386458	0.480792	0.351674
TMEM161B-AS1	0.341382	0.342851	0.462817	0.904357	0.307755
TMEM161B	0.234587	0.211386	0.283329	0.606717	0.440049
TMEM161A	0.773904	0.715858	0.665884	0.811594	0.564554
TMEM160	0.496442	0.537246	0.584684	0.662205	0.640038
TMEM159	0.211299	0.237356	0.266541	0.470927	0.524776
TMEM158	0.635197	0.677423	0.602571	0.986542	0.456165
TMEM154	0.198092	0	0.219426	0.791672	0.188882
TMEM14C	0.546492	0.884199	0.612947	0.18978	0.651839
TMEM14B	0.711909	0.68027	0.550694	0.832023	0.727084
TMEM147-AS1	0.366375	0.371648	0.260941	0.465724	0.242779
TMEM147	0.737488	0.938858	0.634668	0.165095	0.696768
TMEM138	0.792614	0.80009	0.680369	0.875119	0.756417
TMEM136	0.616414	0.532097	0.606414	0.708125	0.740176
TMEM132D	0.267668	0.430189	0.554039	0.297015	0.5192
TMEM132A	0.489769	0.478485	0.522046	0.494794	0.520307
TMEM131L	0.233998	0.424417	0.329411	0.149858	0.484365
TMEM131	0.893945	0.806712	0.935565	0.792855	0.892018
TMEM128	0.574654	0.583654	0.532776	0.713432	0.527241
TMEM127	0.361173	0.306017	0.428335	0.507485	0.45689
TMEM126B	0.669662	0.737124	0.578813	0.649726	0.557729
TMEM126A	0.469428	0.594759	0.470178	0.494467	0.399313
TMEM121	0.455102	0.434626	0.395655	0.485757	0.520337
TMEM120B	0.277806	0.299127	0.349275	0.542	0.505606
TMEM120A	0.369036	0.520065	0.394426	0.4898	0.2933
TMEM117	0.406776	0.449038	0.54819	0.746872	0.771269
TMEM116	0.37147	0.314453	0.36418	0.519793	0.594959
TMEM115	0.696795	0.659504	0.751121	0.689299	0.612164
TMEM11	0.600137	0.626645	0.535147	0.149012	0.670913
TMEM108	0.785726	0.641675	0.481258	0.63659	0.529701
TMEM106B	0.764737	0.893549	0.661686	0.655892	0.630182
TMEM106A	0.369372	0	0.617938	0.577625	0.640038
TMEM104	0.523733	0.560079	0.555374	0.35069	0.582806
TMEM102	0.347394	0.17323	0.386513	0.906968	0.185676
TMEM101	0.756673	0.832841	0.780293	0.845936	0.591105
TMED8	0.404315	0.370131	0.266781	0.305994	0.481991
TMED7	0.840483	0.996801	0.784035	0.68331	0.726805
TMED5	0.934441	0.90569	0.753014	0.98815	0.916607
TMED3	0.704385	0.906783	0.68144	0.699658	0.53654
TMED2	0.96431	1.00038	0.838024	0.885941	0.825354
TMCO3	0.640334	0.636181	0.749835	0.654005	0.900189
TMCO1	0.88085	0.8658	0.734508	0.818703	0.738379
TMCC1-AS1	0.297309	0.444179	0.396488	0.767689	0.384757
TMCC1	0.335403	0.303296	0.306507	0.386171	0.299327
TMC7	0.204917	0.183366	0.471739	0.329112	0.200969
TMC6	0.0905825	0.0972737	0.451034	1.15836	0.183061
TMC4	0.700067	0.850751	0.913056	0.763514	0.518767
TMA16	0.519723	0.426394	0.44705	0.761124	0.56919
TM9SF4	0.57919	0.623305	0.592522	0.536222	0.442269
TM9SF3	0.975065	0.895194	0.849239	0.826249	0.804475
TM9SF2	0.941745	0.888087	0.697071	0.708302	0.786521
TM9SF1	0.624026	0.479282	0.692329	0.470355	0.77126
TM7SF2	0.746278	0.849471	0.788034	0.618229	0.562601
TM4SF19-AS1	0.411502	0.209241	0.0653241	0.651114	1.13241
TM2D3	0.304488	0.278365	0.264128	0.363709	0.236278
TM2D2	0.654683	0.627355	0.650976	0.601459	0.460229
TM2D1	0.899864	0.796623	0.662734	0.722344	0.667965
TLL2	0.483106	0.145443	0.31956	0.711257	0.0200577
TLK2	0.549728	0.564798	0.57478	0.529531	0.623567
TLK1	0.694996	0.678847	0.62367	0.790463	0.753964
TLE3	0.42708	0.35682	0.341701	0.380031	0.397934
TLE2	0.693739	0.481506	0.384481	1.14849	0.915039
TLE1	0.519733	0.355073	0.670142	0.568013	0.502962
TLDC1	0.416861	0.375334	0.460942	0.531609	0.325041
TLCD2	0.740617	0.556228	0.732061	0.955744	0.430221
TKT	0.534101	0.702888	0.713546	0.620464	0.595322
TKFC	0.547618	0.575854	0.721434	0.641139	0.654775
TK2	0.720655	0.560265	0.841659	0.601468	0.715164
TJP2	0	0	0	0.316447	1.12677
TJAP1	0.494508	0.398832	0.720349	0.749938	0.681287
TIRAP	0.231371	0.250198	0.217603	0.226385	0.503145
TIPRL	0.408603	0.510942	0.473465	0.42605	0.356471
TIPIN	0.356628	0.399751	0.274005	0.617994	0.924746
TIPARP-AS1	0.44228	0.385586	0.100184	0.415715	0.102967
TINF2	0.542625	0.499619	0.503328	0.487394	0.477211
TIMP2	0.616245	0.766298	0.790522	0.722667	0.760894
TIMMDC1	0.681638	0.80173	0.565139	0.758917	0.528041
TIMM9	0.528111	0.512065	0.495357	0.772696	0.567993
TIMM8B	0.92356	0.967102	0.70922	0.74968	0.621731
TIMM8A	0.393383	0.313942	0.273683	0.496145	0.638704
TIMM50	0.454386	0.466037	0.482291	0.695032	0.580232
TIMM44	0.299127	0.427842	0.433921	0.499313	0.421113
TIMM29	0.403159	0.41302	0.480834	0.772046	0.634138
TIMM23B	0.409266	0.194074	0.327952	0.378523	0.303214
TIMM23	0.481826	0.354712	0.345226	0.508337	0.425921
TIMM22	0.566464	0.545415	0.61438	0.649376	0.556787
TIMM21	0.408788	0.370789	0.450274	0.597526	0.607503
TIMM17B	0.546294	0.525097	0.502015	0.633561	0.542585
TIMM17A	0.561204	0.511185	0.566581	0.660801	0.485272
TIMM10B	0.567604	0.459883	0.471208	0.509007	0.503084
TIMM10	0.691418	0.721093	0.618953	0.768968	0.734907
TIGD7	0.317617	0.359341	0.263527	0.299632	0.4027
TIGD6	0.417682	0.545622	0.329985	0.477563	0.192989
TIGD5	0.335895	0.38187	0.402427	0.48102	0.380297
TIGD4	0.483395	0.533514	0.434284	0.557689	0.40995
TIGAR	0.585338	0.813615	0.847436	1.0006	0.768807
TIAM2	0.298905	0.305422	0.347382	0.307837	0.432692
TIAL1	0.640547	0.590032	0.671701	0.700875	0.782325
TIA1	0.64934	0.4575	0.602286	0.611418	0.814846
THYN1	0.812802	0.717193	0.636107	0.413637	0.701212
THY1	0.158402	0.203464	0.379211	0.566689	0.39651
THUMPD3-AS1	0.494364	0.471354	0.616743	0.700875	0.606906
THUMPD3	0.591134	0.417931	0.540305	0.605817	0.630294
THUMPD2	0.4325	0.341337	0.519572	0.514824	0.535366
THUMPD1	0.645056	0.680972	0.467196	0.563998	0.707799
THTPA	0.804434	0.7392	0.501322	0.56702	0.418827
THSD7A	0.248851	0.356617	0.197589	0.17997	0.376124
THRSP	0.941805	0	0	0.297262	0.608923
THRAP3	0.695789	0.675473	0.714971	0.656377	0.769586
THRA	0.502758	0.545889	0.407636	0.441122	0.497198
THOP1	0.584328	0.537266	0.648373	0.687338	1.11663
THOC7	0.401794	0.387043	0.403311	0.537207	0.336021
THOC6	0.51543	0.360825	0.589658	0.661759	0.762663
THOC3	0.435938	0.373932	0.492981	0.690006	0.817279
THOC2	0.655068	0.640797	0.797561	0.70256	0.822771
THOC1	0.521815	0.354272	0.514683	0.57833	0.891497
THG1L	0.52683	0.571987	0.539243	0.68072	0.48486
THEM6	0.240998	0.165648	0.223855	0.426522	0.43235
THEM4	0.356054	0.288666	0.267068	0.476434	0.339616
THBS4	0.14952	0.197803	0.179868	0.89229	0.369595
THBD	0.966098	0.689541	0.4465	0.0413972	0.292417
THAP9-AS1	0.29059	0.238811	0.411752	0.677459	0.471749
THAP9	0.268961	0.253142	0.515379	0.491535	0.520407
THAP8	0.215032	0.292888	0.285106	0.41955	0.216175
THAP7-AS1	0.474753	0.362734	0.234207	0.280493	0.426029
THAP7	0.650728	0.56511	0.56665	0.7288	0.899694
THAP6	0.403399	0.420746	0.352476	0.421156	0.451182
THAP5	0.723261	0.625345	0.608355	0.597946	0.888921
THAP4	0.355851	0.329112	0.489142	0.552643	0.380896
THAP3	0.442461	0.421371	0.479241	0.525127	0.432339
THAP2	0.317072	0.349331	0.409407	0.352499	0.174841
THAP12	0.555649	0.547025	0.513683	0.683822	0.722982
THAP11	0.556218	0.513794	0.451013	0.54307	0.532656
THAP10	0.269081	0.17631	0.165352	0.300897	0.576996
THAP1	0.336478	0.270062	0.387296	0.372518	0.331384
THADA	0.948212	0.737263	0.748856	0.467363	0.743653
TGS1	0.431516	0.45709	0.567701	0.75511	0.769992
TGOLN2	0.72202	0.646384	0.742938	0.544713	0.803086
TGFBRAP1	0.409624	0.321097	0.416245	0.458634	0.581872
TGFBR1	0.443776	0.410276	0.438378	0.430392	0.416624
TGDS	0.549186	0.662998	0.508713	0.972663	0.619253
TFRC	0.620586	0.562836	0.611503	0.675175	0.55032
TFPT	0.497556	0.424363	0.477833	0.670985	0.506429
TFIP11	0.384105	0.345226	0.434818	0.524174	0.52099
TFG	0.915605	1.06879	0.833327	0.158311	0.772798
TFEB	0.106187	0	0.536242	0.54964	0.722886
TFE3	0.566348	0.408136	0.652445	0.456491	0.426898
TFDP2	0.629669	0.605589	0.724938	0.934517	0.877359
TFDP1	0.608734	0.425567	0.360892	0.552387	1.1945
TFCP2	0.557454	0.393251	0.423417	0.505606	0.433408
TFB2M	0.438421	0.34376	0.475718	0.56092	0.262265
TFB1M	0.394009	0.333847	0.340448	0.705412	0.449841
TFAM	0.449176	0.397135	0.429354	0.731635	0.768502
TEX30	0.39268	0.241706	0.284633	0.670759	0.997061
TEX264	0.824018	0.806415	0.652867	0.789128	0.837402
TEX261	0.58938	0.479903	0.459851	0.430232	0.725994
TEX26-AS1	1.28754	0.167666	0.206506	0.650829	0.417315
TEX2	0.30878	0.304009	0.391053	0.51344	0.361622
TEX10	0.40033	0.311445	0.320797	0.508307	0.666566
TET3	0.407407	0.353459	0.393098	0.262409	0.462325
TET2	0.535774	0.385586	0.44332	0.375457	0.510982
TET1	0.459799	0.40414	0.47386	0.687688	0.73508
TESK2	0.103921	0.029361	0.0990393	0.272931	0.809069
TESK1	0.297156	0.219302	0.313176	0.365827	0.363115
TESC	0.153598	0.0927757	0.120286	1.28803	0.329238
TERF2IP	0.362161	0.514249	0.489553	0.160598	0.368366
TERF2	0.388652	0.425416	0.406243	0.434956	0.408212
TERF1	0.520759	0.483179	0.497137	0.483241	0.497454
TEPSIN	0.219996	0.190514	0.518757	0.347768	0.408962
TEP1	0.237796	0.299198	0.604014	0.308687	0.217057
TENT5A	0.290342	0.241242	0.375368	0.516197	0.570482
TENT4B	0.312433	0.274673	0.274542	0.39812	0.300768
TENT4A	0.368701	0.267476	0.405905	0.331224	0.50341
TENT2	0.617364	0.449524	0.522427	0.560069	0.638231
TENM4	0.521513	0.909297	0.860081	0.429429	0.560118
TENM3	0.474254	0.789596	0.754699	0.202474	0.479158
TEN1	0.687724	0.697712	0.598946	0.558826	0.607588
TELO2	0.410385	0.364808	0.525207	0.546532	0.791831
TEK	0	0	0.468385	0.436215	0.545514
TEFM	0.449387	0.425244	0.406591	0.535764	0.421178
TEDC2	0.199412	0.145312	0.167255	0.409472	1.02715
TECR	0.672181	0.523532	0.561497	0.817541	0.90649
TECPR2	0.50284	0.413681	0.445059	0.349909	0.503898
TECPR1	0.298518	0.27602	0.30758	0.402995	0.324016
TEC	0	0.342623	0.679478	0.976217	1.17981
TDRP	0.47892	0.408505	0.391284	0.462524	0.471989
TDRD9	0.699223	0.709061	0.355907	0	0
TDRD7	0.67882	0.587653	0.404151	0.287839	0.500904
TDRD3	0.457153	0.480958	0.565841	0.460187	0.535306
TDP2	0.588402	0.520699	0.512399	0.602096	0.54889
TDP1	0.344772	0.300499	0.241743	0.466998	0.665902
TDG	0.510456	0.496779	0.530031	0.554196	0.5345
TCTEX1D2	0.845895	0.765068	0.51161	0.771919	0.81501
TCTA	0.572482	0.598718	0.547924	0.339308	0.379477
TCP11L2	1.09018	0.764541	0.517709	0.459442	0.331545
TCP10L	0.50712	0.328009	0.34334	0.198746	0.0567361
TCP1	0.456102	0.660527	0.571725	0.149845	0.545227
TCOF1	0.368657	0.368813	0.477377	0.554058	0.63913
TCN2	0.377146	0.335678	0.521815	0.754699	0.416537
TCHP	0.41498	0.416764	0.316401	0.422394	0.542436
TCFL5	0.509716	0.493196	0.537316	0.731774	0.373832
TCF7	0.269285	0.271796	0.467666	0.440973	0.628512
TCF25	0.676385	0.727006	0.70967	0.292758	0.67465
TCF20	0.432126	0.382911	0.347575	0.236107	0.380563
TCERG1	0.391009	0.376424	0.430478	0.656991	0.701673
TCEANC2	0.627289	0.492694	0.45346	0.424266	0.713221
TCEANC	0.192131	0.299948	0.409548	0.248389	0.138067
TCEAL8	0.746235	0.741135	0.608033	0.644493	0.599594
TCEAL7	0.232305	0.263046	0.319595	0.40982	0.334111
TCEAL4	0.654573	0.626402	0.577335	0.651509	0.515238
TCEAL3	0.774907	0.729435	0.624793	0.582209	0.698912
TCEAL1	0.535008	0.571201	0.43235	0.45792	0.454397
TCEA2	0.636905	0.717456	0.606992	0.522016	0.641148
TCEA1	0.703375	0.736016	0.699098	0.950655	0.773304
TCAIM	0.605362	0.626635	0.595628	0.599061	0.440729
TCAF2	0.491391	0.575351	0.280493	0.274757	0.664556
TCAF1	0.379244	0.47922	0.437814	0.411893	0.488422
TBXAS1	0.624915	0.973435	0.560324	0.176859	1.15088
TBX19	0.219859	0.157393	0.605362	0.158143	0.143354
TBX1	0.605428	0	0.541029	0	0.542971
TBRG4	0.38819	0.378645	0.437334	0.592369	0.494416
TBRG1	0.306554	0.262265	0.278235	0.466987	0.229059
TBR1	0.159603	0.198029	0.67352	0.435031	0.174394
TBPL1	0.279115	0.370733	0.423309	0.382081	0.309234
TBP	0.318473	0.250173	0.329778	0.400494	0.584847
TBL3	0.486941	0.356448	0.519653	0.581014	0.50581
TBL2	0.595399	0.602837	0.753861	0.666202	0.548338
TBL1XR1	0.695691	0.627056	0.616847	0.509969	0.729061
TBL1X	0.921505	0.70004	0.850711	0.883691	1.03209
TBK1	0.320577	0.41302	0.365245	0.56307	0.419237
TBCK	0.43469	0.419776	0.371458	0.402034	0.424707
TBCEL	0.430585	0.447949	0.651187	0.310922	0.410884
TBCE	0.249579	0.240278	0.385011	0.33506	0.300065
TBCD	0.607408	0.437665	0.546936	0.590377	0.745435
TBCCD1	0.432222	0.248231	0.328791	0.564417	0.556346
TBCC	0.31263	0.278853	0.333779	0.456754	0.357788
TBCB	0.593698	0.642618	0.529761	0.274959	0.494784
TBCA	0.486086	0.79447	0.523492	0.214883	0.46025
TBC1D9B	0.554874	0.552672	0.643302	0.462576	0.517225
TBC1D9	0.439187	0.300768	0.319051	0.169143	0.392032
TBC1D8B	0.610275	0.718798	0.505891	0.373799	0.2339
TBC1D8-AS1	0.210327	0.134536	0.5757	0.284905	0.154285
TBC1D8	0.295535	0.178313	0.415553	0.714944	0.602495
TBC1D7	0.335746	0.380463	0.431334	0.519783	0.487229
TBC1D5	0.463863	0.524615	0.536123	0.569267	0.554019
TBC1D32	0.409635	0.321201	0.380441	0.395622	0.349784
TBC1D2B	0.372674	0.397847	0.438218	0.206518	0.728652
TBC1D23	0.38395	0.505556	0.595485	0.523512	0.434316
TBC1D22B	0.413442	0.332462	0.490498	0.372896	0.663827
TBC1D22A	0.51442	0.419517	0.484716	0.45095	0.387065
TBC1D20	0.481371	0.411947	0.548476	0.532217	0.644475
TBC1D19	0.342851	0.372451	0.364259	0.27802	0.306017
TBC1D17	0.345975	0.461141	0.534819	0.435554	0.371559
TBC1D16	0.631719	0.799933	0.800355	0.65591	0.787717
TBC1D15	0.63914	0.620098	0.593621	0.550142	0.920133
TBC1D14	0.377746	0.352623	0.314731	0.402689	0.529381
TBC1D13	0.351775	0.312712	0.353414	0.289421	0.292664
TBC1D10B	0.411079	0.290908	0.289764	0.42826	0.425255
TAZ	0.447357	0.364841	0.354317	0.712499	0.383442
TAX1BP3	0.803053	0.787516	0.855176	0.915659	0.798382
TAX1BP1	0.518112	0.730349	0.672398	0.721329	0.49294
TATDN3	0.360286	0.242353	0.367975	0.510314	0.22257
TATDN1	0.534948	0.501791	0.505789	0.752115	0.432361
TASP1	0.603226	0.503888	0.454608	0.630098	0.452374
TAS2R14	0.425266	0.419593	0.491196	0.431698	0.444985
TARSL2	0.395447	0.269332	0.410536	0.398974	0.296346
TARS2	0.340015	0.260772	0.318623	0.357124	0.440867
TARS	0.744445	0.732017	0.747095	0.806316	0.725994
TARDBP	0.57917	0.515622	0.53044	0.618953	0.753656
TARBP2	0.458949	0.476599	0.448182	0.518072	0.4705
TARBP1	0.312956	0.238665	0.399784	0.410439	0.321293
TAPT1	0.46948	0.488566	0.379455	0.43991	0.485592
TAP2	0.415694	0.267548	0.19381	0.234783	0.443023
TAOK3	0.36623	0.355276	0.342259	0.450844	0.354407
TAOK2	0.420272	0.335472	0.548703	0.311143	0.447071
TAOK1	0.582421	0.551452	0.603046	0.529271	0.553302
TANK	0.511306	0.518575	0.50784	0.553134	0.696937
TANGO2	0.424782	0.338407	0.337334	0.425223	0.378989
TANC2	0.407244	0.3639	0.480286	0.404663	0.510111
TAMM41	0.200442	0.198155	0.360656	0.384812	0.376201
TALDO1	0.65504	0.820453	0.617016	0.177446	0.837136
TAGLN	0.305877	0.497311	1.16848	0.1904	0.478641
TAF9B	0.312688	0.335335	0.240351	0.247697	0.293924
TAF9	0.463926	0.50288	0.437377	0.268901	0.404511
TAF8	0.562914	0.398361	0.41698	0.639325	0.660919
TAF7L	0.209553	0.366834	0.800248	0	0.131168
TAF7	0.753057	0.703916	0.757843	0.689594	0.658115
TAF6L	0.439464	0.344965	0.348788	0.417477	0.442556
TAF6	0.667002	0.524034	0.483034	0.771835	0.707472
TAF4	0.362823	0.350067	0.309944	0.313583	0.410895
TAF3	0.441717	0.287271	0.548634	0.566007	0.758644
TAF2	0.327986	0.278032	0.341735	0.39928	0.484571
TAF1D	0.484633	0.552702	0.715138	0.70665	0.61138
TAF1C	0.406787	0.345703	0.508084	0.470136	0.513097
TAF1B	0.589907	0.620305	0.611125	0.555561	0.730583
TAF1A-AS1	0.275341	0.418363	0.252803	0.304686	0.333458
TAF15	0.791622	0.607162	0.634361	0.764431	1.04805
TAF13	0.296874	0.395151	0.540632	0.379599	0.354305
TAF12	0.593239	0.561439	0.549807	0.699561	0.423514
TAF11	0.519683	0.469198	0.573588	0.618502	0.528071
TAF1	0.418827	0.457615	0.504183	0.335849	0.410124
TADA3	0.790463	0.806159	0.750015	0.846698	0.816485
TADA2B	0.357056	0.337437	0.361252	0.310782	0.38363
TACO1	0.558405	0.457531	0.443087	0.631225	0.558934
TACC2	0.340027	0.345306	0.456533	0.319075	0.370086
TACC1	0.380342	0.309386	0.3477	0.476506	0.684729
TAB3-AS2	0	0.509402	0	0	0
TAB3	0.270888	0.224188	0.358329	0.329319	0.2728
TAB2	0.778158	0.774393	0.719087	0.54743	0.89117
TAB1	0.268111	0.309654	0.393812	0.314395	0.340312
SZT2	0.447463	0.304803	0.354102	0.330306	0.60483
SYVN1	0.405165	0.383983	0.565831	0.423707	0.248863
SYTL2	0.353685	0.215592	0.806044	0.569598	0.582103
SYT17	0.452089	0.365905	0.286668	0.373119	0.344783
SYT14	0.308967	0.612135	0.307475	0.110149	0.350701
SYT11	0.35078	0.429546	0.579479	0.418298	0.339001
SYT10	0.133721	0.0494495	0.0927487	0.299725	0.720138
SYT1	0.11711	0.168206	0.29079	0.94064	0.240827
SYS1	0.950237	0.871662	0.793946	0.968695	0.762145
SYNRG	0.513349	0.511053	0.47413	0.469896	0.478164
SYNPO	0.603701	0.125797	0.443978	0.0798662	0.494262
SYNM	0.566348	0.374589	0.484159	0.136926	0.690301
SYNJ2BP	0.873545	0.659029	0.580049	0.643949	0.819938
SYNGR4	0.548042	0.835035	0	0.133327	1.13534
SYNGAP1	0.445653	0.386138	0.486848	0.393043	0.505698
SYNE1	1.11746	0.747379	0.862638	0.606812	0.987423
SYNCRIP	0.668001	0.718359	0.762842	0.693998	0.859143
SYNC	0.367539	0.450876	0.447018	0.341086	0.529551
SYMPK	0.454955	0.388046	0.666111	0.564729	0.489204
